name,Lat,Longitude,Height,Description
Dele General Secondary,10.64265026,39.58555375,2,9 to 10
Mekoy sinere,10.6974,39.7818,2,9 to 12
hedaise eferata,10.3235,39.8754,2,9 to 10
majetie,10.4225,39.9355,2,9 to 12
Molale General. sec. school,10.12109788,39.66121755,2,11 to 12
Deberesina Mesenado,9.84872,39.7575,2,1 to 12
Deber sina Gen.sec.school,9.84404,39.754,2,9 to 10
Mezezo,9.92828,39.7295,2,9 to 12
Aremaniya,9.88291,39.8156,2,9 to 10
Seladinigay,9.92676,39.4887,2,9 to 12
Sasit gen sec school,9.95455,39.6258,2,9 to 10
Abaya Atir Gen.sec. School,9.90696,40.0138,2,9 to 10
Terie,10.0888,39.8703,2,9 to 12
Chacha,9.53848,39.4589,2,9 to 12
kotu karl general secondary sc,9.38663,39.3983,2,9 to 10
Tedeshe,9.39902,39.5944,2,9 to 10
Ankober,9.60659,39.7345,2,9 to 12
Metithbila Secondary,9.19724,39.7157,2,9 to 12
Bolo Gewergise,8.91746,39.4213,2,9 to 10
Keyet Atekalay 2gna Derega,9.66165,39.5185,2,9 to 10
Kolako,10.23044681,39.36266152,2,9 to 10
Wegerie,10.16003356,39.5529241,2,9 to 12
Tol Secondary,10.08873806,39.46550605,2,9 to 10
Shewa Robite Gen.sec. & Prepar,10.0001,39.8947,2,9 to 12
Meliekit Acadamy,9.6662829,39.5192606,2,1 to 10
Milinium Acadamey,9.6686034,39.5270183,2,1 to 12
Miliniyeme acedamy,9.67261,39.5249,2,9 to 12
Hailemariam Mamo higher educ..,9.67613,39.5457,2,11 to 12
Tehadeso Ameba,9.6808,39.5247,2,9 to 10
Anchikorere,9.76322,39.1895,2,9 to 10
Leyewu Asirese zewdia,10.8543,37.7418,2,9 to 12
Woynwuha,11.0101,37.7512,2,9 to 10
wabera,10.7338,37.7893,2,9 to 10
Sedie,10.9284,37.8842,2,9 to 12
Keraniyo secondery,10.964,37.972,2,9 to 12
Enese General school,11.0848,37.8838,2,9 to 10
Kerenewarie,10.8904,37.8081,2,9 to 10
Bahire Giwergis,10.9208,38.0868,2,9 to 12
Getaseman,10.9801,38.1541,2,9 to 10
Chemo 9-10,10.881,38.1777,2,9 to 10
Abreha woatsibeha,10.8772,38.268,2,9 to 12
Sarmidir,10.8731,38.3607,2,9 to 10
Fitawurary Yizengaw Wagaye,10.9245,38.3543,2,9 to 10
Tenta,10.7894,38.4161,2,9 to 10
